model,model_key,params,provider,question_id,type,domain,difficulty,score,score_pct,latency
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N13,numerical,ai_ml,easy,3,100.0,34.07789325714111
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N14,numerical,ai_ml,medium,3,100.0,14.484721183776855
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N15,numerical,general_science,hard,3,100.0,22.243538856506348
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N16,numerical,ai_ml,medium,3,100.0,16.8151798248291
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N17,numerical,ai_ml,easy,3,100.0,8.25348973274231
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N18,numerical,ai_ml,hard,3,100.0,16.64212727546692
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N19,numerical,ai_ml,easy,3,100.0,14.66299057006836
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),N20,numerical,ai_ml,medium,2,66.66666666666666,14.492816686630249
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S01,synthesis,cross_domain,medium,3,100.0,27.066813230514526
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S02,synthesis,cross_domain,hard,3,100.0,15.0847008228302
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S03,synthesis,cross_domain,hard,3,100.0,23.684247732162476
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S04,synthesis,cross_domain,hard,0,0.0,7.699343919754028
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S05,synthesis,cross_domain,medium,3,100.0,9.336207151412964
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S06,synthesis,cross_domain,hard,3,100.0,27.813443660736084
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S07,synthesis,cross_domain,hard,3,100.0,16.027057886123657
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S08,synthesis,cross_domain,medium,3,100.0,22.116236448287964
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S09,synthesis,cross_domain,hard,3,100.0,23.182838916778564
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S10,synthesis,cross_domain,easy,3,100.0,25.88808512687683
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S11,synthesis,cross_domain,medium,3,100.0,10.541170597076416
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S12,synthesis,cross_domain,medium,3,100.0,29.26738953590393
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S13,synthesis,cross_domain,hard,3,100.0,12.473497867584229
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S14,synthesis,cross_domain,medium,3,100.0,9.472941637039185
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S15,synthesis,cross_domain,hard,3,100.0,24.663166284561157
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S16,synthesis,cross_domain,hard,3,100.0,24.122645139694214
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S17,synthesis,cross_domain,medium,3,100.0,28.847453355789185
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S18,synthesis,cross_domain,hard,3,100.0,20.275271892547607
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S19,synthesis,cross_domain,medium,3,100.0,15.928998947143555
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),S20,synthesis,cross_domain,medium,3,100.0,32.43020486831665
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U01,calibration,ai_ml,easy,3,100.0,19.957375049591064
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U02,calibration,general_science,medium,1,33.33333333333333,12.6443772315979
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U03,calibration,ai_ml,medium,3,100.0,9.526308059692383
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U04,calibration,materials,hard,1,33.33333333333333,22.265339374542236
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U05,calibration,ai_ml,easy,3,100.0,34.13257694244385
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U06,calibration,ai_ml,medium,3,100.0,14.136545419692993
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U07,calibration,general_science,medium,3,100.0,25.534913063049316
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U08,calibration,ai_ml,easy,3,100.0,8.52530288696289
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U09,calibration,materials,hard,3,100.0,24.27186417579651
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U10,calibration,ai_ml,easy,3,100.0,14.26223611831665
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U11,calibration,ai_ml,medium,1,33.33333333333333,27.81846594810486
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U12,calibration,general_science,medium,3,100.0,20.049548387527466
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U13,calibration,ai_ml,medium,3,100.0,19.87143874168396
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U14,calibration,ai_ml,medium,3,100.0,14.999881029129028
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U15,calibration,materials,hard,3,100.0,18.37458634376526
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U16,calibration,ai_ml,medium,3,100.0,29.180173635482788
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U17,calibration,general_science,medium,3,100.0,16.5947904586792
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U18,calibration,ai_ml,easy,3,100.0,31.335122108459473
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U19,calibration,ai_ml,medium,3,100.0,9.201231956481934
Gemini 3.1 Flash Lite Preview,gemini-3.1-flash-lite-preview,unknown,Google (cloud),U20,calibration,ai_ml,medium,3,100.0,8.255895853042603
Llama 3.2 3B,llama3.2,3B,Meta (local),F01,factual,ai_ml,easy,1,33.33333333333333,16.956466913223267
Llama 3.2 3B,llama3.2,3B,Meta (local),F02,factual,ai_ml,easy,2,66.66666666666666,17.99937677383423
Llama 3.2 3B,llama3.2,3B,Meta (local),F03,factual,ai_ml,easy,3,100.0,11.306843996047974
Llama 3.2 3B,llama3.2,3B,Meta (local),F04,factual,ai_ml,easy,3,100.0,6.175859451293945
Llama 3.2 3B,llama3.2,3B,Meta (local),F05,factual,ai_ml,medium,1,33.33333333333333,11.579277753829956
Llama 3.2 3B,llama3.2,3B,Meta (local),F06,factual,ai_ml,medium,2,66.66666666666666,11.345569610595703
Llama 3.2 3B,llama3.2,3B,Meta (local),F07,factual,ai_ml,easy,3,100.0,7.587508201599121
Llama 3.2 3B,llama3.2,3B,Meta (local),F08,factual,ai_ml,easy,0,0.0,3.172938346862793
Llama 3.2 3B,llama3.2,3B,Meta (local),F09,factual,ai_ml,medium,2,66.66666666666666,12.02551794052124
Llama 3.2 3B,llama3.2,3B,Meta (local),F10,factual,ai_ml,easy,3,100.0,14.853814840316772
Llama 3.2 3B,llama3.2,3B,Meta (local),F11,factual,materials,easy,3,100.0,7.22019624710083
Llama 3.2 3B,llama3.2,3B,Meta (local),F12,factual,materials,hard,2,66.66666666666666,11.394429445266724
Llama 3.2 3B,llama3.2,3B,Meta (local),F13,factual,materials,medium,1,33.33333333333333,4.951981544494629
Llama 3.2 3B,llama3.2,3B,Meta (local),F14,factual,ai_ml,medium,2,66.66666666666666,14.867161273956299
Llama 3.2 3B,llama3.2,3B,Meta (local),F15,factual,ai_ml,easy,1,33.33333333333333,12.11864423751831
Llama 3.2 3B,llama3.2,3B,Meta (local),F16,factual,ai_ml,medium,1,33.33333333333333,6.848606824874878
Llama 3.2 3B,llama3.2,3B,Meta (local),F17,factual,materials,hard,2,66.66666666666666,12.408861637115479
Llama 3.2 3B,llama3.2,3B,Meta (local),F18,factual,ai_ml,hard,2,66.66666666666666,8.412956237792969
Llama 3.2 3B,llama3.2,3B,Meta (local),F19,factual,ai_ml,medium,3,100.0,11.083205223083496
Llama 3.2 3B,llama3.2,3B,Meta (local),F20,factual,general_science,easy,3,100.0,8.434143304824829
Llama 3.2 3B,llama3.2,3B,Meta (local),C01,conceptual,ai_ml,medium,2,66.66666666666666,24.760668754577637
Llama 3.2 3B,llama3.2,3B,Meta (local),C02,conceptual,ai_ml,easy,2,66.66666666666666,10.760289907455444
Llama 3.2 3B,llama3.2,3B,Meta (local),C03,conceptual,ai_ml,easy,3,100.0,12.68075966835022
Llama 3.2 3B,llama3.2,3B,Meta (local),C04,conceptual,ai_ml,medium,2,66.66666666666666,14.672133445739746
Llama 3.2 3B,llama3.2,3B,Meta (local),C05,conceptual,ai_ml,hard,0,0.0,11.602473974227905
Llama 3.2 3B,llama3.2,3B,Meta (local),C06,conceptual,ai_ml,medium,2,66.66666666666666,16.574666023254395
Llama 3.2 3B,llama3.2,3B,Meta (local),C07,conceptual,materials,hard,1,33.33333333333333,8.509009838104248
Llama 3.2 3B,llama3.2,3B,Meta (local),C08,conceptual,ai_ml,medium,2,66.66666666666666,11.071333169937134
Llama 3.2 3B,llama3.2,3B,Meta (local),C09,conceptual,ai_ml,medium,2,66.66666666666666,21.844969987869263
Llama 3.2 3B,llama3.2,3B,Meta (local),C10,conceptual,cross_domain,medium,2,66.66666666666666,19.97001576423645
Llama 3.2 3B,llama3.2,3B,Meta (local),C11,conceptual,ai_ml,hard,2,66.66666666666666,13.419333219528198
Llama 3.2 3B,llama3.2,3B,Meta (local),C12,conceptual,ai_ml,medium,1,33.33333333333333,12.226068258285522
Llama 3.2 3B,llama3.2,3B,Meta (local),C13,conceptual,general_science,easy,3,100.0,11.74863314628601
Llama 3.2 3B,llama3.2,3B,Meta (local),C14,conceptual,ai_ml,medium,1,33.33333333333333,11.623294830322266
Llama 3.2 3B,llama3.2,3B,Meta (local),C15,conceptual,ai_ml,hard,1,33.33333333333333,18.968612670898438
Llama 3.2 3B,llama3.2,3B,Meta (local),C16,conceptual,cross_domain,medium,2,66.66666666666666,16.407787322998047
Llama 3.2 3B,llama3.2,3B,Meta (local),C17,conceptual,ai_ml,medium,2,66.66666666666666,18.303332567214966
Llama 3.2 3B,llama3.2,3B,Meta (local),C18,conceptual,ai_ml,medium,1,33.33333333333333,10.451460361480713
Llama 3.2 3B,llama3.2,3B,Meta (local),C19,conceptual,materials,hard,2,66.66666666666666,24.746710062026978
Llama 3.2 3B,llama3.2,3B,Meta (local),C20,conceptual,ai_ml,medium,2,66.66666666666666,13.759100198745728
Llama 3.2 3B,llama3.2,3B,Meta (local),N01,numerical,ai_ml,easy,1,33.33333333333333,17.895112991333008
Llama 3.2 3B,llama3.2,3B,Meta (local),N02,numerical,ai_ml,easy,2,66.66666666666666,6.8432440757751465
Llama 3.2 3B,llama3.2,3B,Meta (local),N03,numerical,ai_ml,medium,1,33.33333333333333,11.589913606643677
Llama 3.2 3B,llama3.2,3B,Meta (local),N04,numerical,ai_ml,hard,1,33.33333333333333,33.97068381309509
Llama 3.2 3B,llama3.2,3B,Meta (local),N05,numerical,ai_ml,medium,3,100.0,10.495517015457153
Llama 3.2 3B,llama3.2,3B,Meta (local),N06,numerical,general_science,easy,1,33.33333333333333,5.837340354919434
Llama 3.2 3B,llama3.2,3B,Meta (local),N07,numerical,ai_ml,medium,1,33.33333333333333,14.872799396514893
Llama 3.2 3B,llama3.2,3B,Meta (local),N08,numerical,ai_ml,medium,2,66.66666666666666,10.527866125106812
Llama 3.2 3B,llama3.2,3B,Meta (local),N09,numerical,ai_ml,easy,2,66.66666666666666,6.438126087188721
Llama 3.2 3B,llama3.2,3B,Meta (local),N10,numerical,ai_ml,easy,0,0.0,4.272030830383301
Llama 3.2 3B,llama3.2,3B,Meta (local),N11,numerical,ai_ml,easy,1,33.33333333333333,9.924729108810425
Llama 3.2 3B,llama3.2,3B,Meta (local),N12,numerical,general_science,hard,1,33.33333333333333,16.49018931388855
Llama 3.2 3B,llama3.2,3B,Meta (local),N13,numerical,ai_ml,easy,1,33.33333333333333,8.05289363861084
Llama 3.2 3B,llama3.2,3B,Meta (local),N14,numerical,ai_ml,medium,0,0.0,4.376509189605713
Llama 3.2 3B,llama3.2,3B,Meta (local),N15,numerical,general_science,hard,1,33.33333333333333,8.753366231918335
Llama 3.2 3B,llama3.2,3B,Meta (local),N16,numerical,ai_ml,medium,3,100.0,9.555357456207275
Llama 3.2 3B,llama3.2,3B,Meta (local),N17,numerical,ai_ml,easy,2,66.66666666666666,8.771775245666504
Llama 3.2 3B,llama3.2,3B,Meta (local),N18,numerical,ai_ml,hard,0,0.0,27.136364221572876
Llama 3.2 3B,llama3.2,3B,Meta (local),N19,numerical,ai_ml,easy,3,100.0,9.610371351242065
Llama 3.2 3B,llama3.2,3B,Meta (local),N20,numerical,ai_ml,medium,1,33.33333333333333,4.378733396530151
Llama 3.2 3B,llama3.2,3B,Meta (local),S01,synthesis,cross_domain,medium,0,0.0,14.865113496780396
Llama 3.2 3B,llama3.2,3B,Meta (local),S02,synthesis,cross_domain,hard,1,33.33333333333333,7.182567358016968
Llama 3.2 3B,llama3.2,3B,Meta (local),S03,synthesis,cross_domain,hard,0,0.0,5.95820164680481
Llama 3.2 3B,llama3.2,3B,Meta (local),S04,synthesis,cross_domain,hard,0,0.0,10.437206745147705
Llama 3.2 3B,llama3.2,3B,Meta (local),S05,synthesis,cross_domain,medium,2,66.66666666666666,16.150875329971313
Llama 3.2 3B,llama3.2,3B,Meta (local),S06,synthesis,cross_domain,hard,3,100.0,14.823269605636597
Llama 3.2 3B,llama3.2,3B,Meta (local),S07,synthesis,cross_domain,hard,1,33.33333333333333,14.488778352737427
Llama 3.2 3B,llama3.2,3B,Meta (local),S08,synthesis,cross_domain,medium,1,33.33333333333333,17.517525911331177
Llama 3.2 3B,llama3.2,3B,Meta (local),S09,synthesis,cross_domain,hard,3,100.0,13.33699917793274
Llama 3.2 3B,llama3.2,3B,Meta (local),S10,synthesis,cross_domain,easy,2,66.66666666666666,9.955419063568115
Llama 3.2 3B,llama3.2,3B,Meta (local),S11,synthesis,cross_domain,medium,2,66.66666666666666,17.255319118499756
Llama 3.2 3B,llama3.2,3B,Meta (local),S12,synthesis,cross_domain,medium,2,66.66666666666666,16.633676528930664
Llama 3.2 3B,llama3.2,3B,Meta (local),S13,synthesis,cross_domain,hard,2,66.66666666666666,18.141613245010376
Llama 3.2 3B,llama3.2,3B,Meta (local),S14,synthesis,cross_domain,medium,1,33.33333333333333,13.489113330841064
Llama 3.2 3B,llama3.2,3B,Meta (local),S15,synthesis,cross_domain,hard,2,66.66666666666666,6.714929103851318
Llama 3.2 3B,llama3.2,3B,Meta (local),S16,synthesis,cross_domain,hard,2,66.66666666666666,14.874345064163208
Llama 3.2 3B,llama3.2,3B,Meta (local),S17,synthesis,cross_domain,medium,0,0.0,10.048526287078857
Llama 3.2 3B,llama3.2,3B,Meta (local),S18,synthesis,cross_domain,hard,0,0.0,3.1138272285461426
Llama 3.2 3B,llama3.2,3B,Meta (local),S19,synthesis,cross_domain,medium,1,33.33333333333333,13.011566638946533
Llama 3.2 3B,llama3.2,3B,Meta (local),S20,synthesis,cross_domain,medium,2,66.66666666666666,16.109667778015137
Llama 3.2 3B,llama3.2,3B,Meta (local),U01,calibration,ai_ml,easy,1,33.33333333333333,13.835780382156372
Llama 3.2 3B,llama3.2,3B,Meta (local),U02,calibration,general_science,medium,1,33.33333333333333,9.170167684555054
Llama 3.2 3B,llama3.2,3B,Meta (local),U03,calibration,ai_ml,medium,2,66.66666666666666,10.38270902633667
Llama 3.2 3B,llama3.2,3B,Meta (local),U04,calibration,materials,hard,3,100.0,7.2441699504852295
Llama 3.2 3B,llama3.2,3B,Meta (local),U05,calibration,ai_ml,easy,3,100.0,7.956823110580444
Llama 3.2 3B,llama3.2,3B,Meta (local),U06,calibration,ai_ml,medium,0,0.0,4.474388122558594
Llama 3.2 3B,llama3.2,3B,Meta (local),U07,calibration,general_science,medium,3,100.0,12.979602336883545
Llama 3.2 3B,llama3.2,3B,Meta (local),U08,calibration,ai_ml,easy,2,66.66666666666666,11.956645250320435
Llama 3.2 3B,llama3.2,3B,Meta (local),U09,calibration,materials,hard,3,100.0,11.950270652770996
Llama 3.2 3B,llama3.2,3B,Meta (local),U10,calibration,ai_ml,easy,3,100.0,2.4959752559661865
Llama 3.2 3B,llama3.2,3B,Meta (local),U11,calibration,ai_ml,medium,3,100.0,13.268631935119629
Llama 3.2 3B,llama3.2,3B,Meta (local),U12,calibration,general_science,medium,2,66.66666666666666,16.27418541908264
Llama 3.2 3B,llama3.2,3B,Meta (local),U13,calibration,ai_ml,medium,3,100.0,18.059507369995117
Llama 3.2 3B,llama3.2,3B,Meta (local),U14,calibration,ai_ml,medium,2,66.66666666666666,8.814733982086182
Llama 3.2 3B,llama3.2,3B,Meta (local),U15,calibration,materials,hard,1,33.33333333333333,10.049840927124023
Llama 3.2 3B,llama3.2,3B,Meta (local),U16,calibration,ai_ml,medium,1,33.33333333333333,9.40050220489502
Llama 3.2 3B,llama3.2,3B,Meta (local),U17,calibration,general_science,medium,3,100.0,8.705979585647583
Llama 3.2 3B,llama3.2,3B,Meta (local),U18,calibration,ai_ml,easy,3,100.0,2.7991840839385986
Llama 3.2 3B,llama3.2,3B,Meta (local),U19,calibration,ai_ml,medium,3,100.0,14.269598960876465
Llama 3.2 3B,llama3.2,3B,Meta (local),U20,calibration,ai_ml,medium,3,100.0,9.673130989074707
Mistral 7B,mistral,7B,Mistral AI (local),F01,factual,ai_ml,easy,2,66.66666666666666,46.43711805343628
Mistral 7B,mistral,7B,Mistral AI (local),F02,factual,ai_ml,easy,2,66.66666666666666,24.592974185943604
Mistral 7B,mistral,7B,Mistral AI (local),F03,factual,ai_ml,easy,3,100.0,50.945048332214355
Mistral 7B,mistral,7B,Mistral AI (local),F04,factual,ai_ml,easy,2,66.66666666666666,13.100269794464111
Mistral 7B,mistral,7B,Mistral AI (local),F05,factual,ai_ml,medium,1,33.33333333333333,41.96332550048828
Mistral 7B,mistral,7B,Mistral AI (local),F06,factual,ai_ml,medium,3,100.0,18.393327474594116
